name,namefr,type1,type1fr,type2/none,type2fr/none,generation,index,description,descriptionfr,image(link),hasMegaEvolution,weight(in kg),legendary,fabulous,size(in meter),biomes(where we can found it),evolution-stade,color,isMaxEvolution,hasBeenInAshTeam,hasGenderDifference,isFormSwitchable,baseHappiness,captureRate
bulbasaur,Bulbizarre,grass,Plante,poison,Poison,1,1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKEMON.,"Au matin de sa vie, la graine sur son dos lui fournit les elements dont il a besoin pour grandir.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,False,6.9,False,False,0.7,N/A,1,green,False,False,False,False,70,45
ivysaur,Herbizarre,grass,Plante,poison,Poison,1,2,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","Lorsque le bourgeon sur son dos éclot, il répand un doux parfum pour célébrer sa floraison.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,False,13.0,False,False,1.0,N/A,2,green,False,False,False,False,70,45
venusaur,Florizarre,grass,Plante,poison,Poison,1,3,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Le parfum de sa fleur se fait plus pénétrant les lendemains de pluie. Cela appâte les autres Pokémon.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,True,100.0,False,False,2.0,N/A,3,green,True,False,True,True,70,45
charmander,Salamèche,fire,Feu,none,none,1,4,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",La flamme de sa queue symbolise sa vitalité. Elle est intense quand il est en bonne santé.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,False,8.5,False,False,0.6,N/A,1,red,False,False,False,False,70,45
charmeleon,Reptincel,fire,Feu,none,none,1,5,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","La nuit, la queue ardente du Reptincel brille comme une étoile dans son repaire montagneux.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,False,19.0,False,False,1.1,N/A,2,red,False,False,False,False,70,45
charizard,Dracaufeu,fire,Feu,flying,Vol,1,6,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,On raconte que la flamme du Dracaufeu s’intensifie après un combat difficile.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,True,90.5,False,False,1.7,N/A,3,red,True,False,False,True,70,45
squirtle,Carapuce,water,Eau,none,none,1,7,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",Il se réfugie dans sa carapace et réplique en éclaboussant l’ennemi à la première occasion.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,False,9.0,False,False,0.5,N/A,1,blue,False,False,False,False,70,45
wartortle,Carabaffe,water,Eau,none,none,1,8,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",On prétend qu’il vit 10 000 ans. Sa queue duveteuse est un symbole de longévité populaire.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,False,22.5,False,False,1.0,N/A,2,blue,False,False,False,False,70,45
blastoise,Tortank,water,Eau,none,none,1,9,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,Les trombes d’eau projetées par les canons de sa carapace peuvent percer le métal le plus résistant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,True,85.5,False,False,1.6,N/A,3,blue,True,False,False,True,70,45
caterpie,Chenipan,bug,Insecte,none,none,1,10,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Ses antennes rouges libèrent une puanteur qui repousse l’ennemi. Il grandit par mues régulières.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,False,2.9,False,False,0.3,N/A,1,green,False,False,False,False,70,255
